movie_title,duration,budget,gross,imdb_score,success_category,num_voted_users,movie_facebook_likes,director_facebook_likes,title_year,genres,country,language,content_rating,aspect_ratio,color,profit,roi,budget_millions,gross_millions
Captain America: Civil War ,147.0,250000000.0,407197282.0,8.2,Hit,272670,72000,94.0,2016.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,157197282.0,62.878912799999995,250.0,407.197282
Battleship ,131.0,209000000.0,65173160.0,5.9,Average,202382,44000,532.0,2012.0,Action|Adventure|Sci-Fi|Thriller,USA,English,PG-13,2.35,Color,-143826840.0,-68.81666985645933,209.0,65.17316
Jurassic World ,124.0,150000000.0,652177271.0,7.0,Hit,418214,150000,365.0,2015.0,Action|Adventure|Sci-Fi|Thriller,USA,English,PG-13,2.0,Color,502177271.0,334.78484733333335,150.0,652.177271
Skyfall ,143.0,200000000.0,304360277.0,7.8,Hit,522030,80000,0.0,2012.0,Action|Adventure|Thriller,UK,English,PG-13,2.35,Color,104360277.0,52.1801385,200.0,304.360277
Spider-Man 2 ,135.0,200000000.0,373377893.0,7.3,Hit,411164,0,0.0,2004.0,Action|Adventure|Fantasy|Romance,USA,English,PG-13,2.35,Color,173377893.0,86.6889465,200.0,373.377893
Iron Man 3 ,195.0,200000000.0,408992272.0,7.2,Hit,557489,95000,1000.0,2013.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,208992272.0,104.496136,200.0,408.992272
Alice in Wonderland ,108.0,200000000.0,334185206.0,6.5,Hit,306320,24000,13000.0,2010.0,Adventure|Family|Fantasy,USA,English,PG,1.85,Color,134185206.0,67.092603,200.0,334.185206
X-Men: The Last Stand ,104.0,210000000.0,234360014.0,6.8,Hit,383427,0,420.0,2006.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Canada,English,PG-13,2.35,Color,24360014.0,11.600006666666667,210.0,234.360014
Monsters University ,104.0,200000000.0,268488329.0,7.3,Hit,235025,44000,37.0,2013.0,Adventure|Animation|Comedy|Family|Fantasy,USA,English,G,1.85,Color,68488329.0,34.244164500000004,200.0,268.488329
Transformers: Revenge of the Fallen ,150.0,200000000.0,402076689.0,6.0,Average,323207,0,0.0,2009.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,202076689.0,101.0383445,200.0,402.076689
Transformers: Age of Extinction ,165.0,210000000.0,245428137.0,5.7,Average,242420,56000,0.0,2014.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,35428137.0,16.87054142857143,210.0,245.428137
Oz the Great and Powerful ,130.0,215000000.0,234903076.0,6.4,Hit,175409,60000,0.0,2013.0,Adventure|Family|Fantasy,USA,English,PG,2.35,Color,19903076.0,9.257244651162791,215.0,234.903076
The Amazing Spider-Man 2 ,142.0,200000000.0,202853933.0,6.7,Hit,321227,41000,464.0,2014.0,Action|Adventure|Fantasy|Sci-Fi,USA,English,PG-13,2.35,Color,2853933.0,1.4269665,200.0,202.853933
TRON: Legacy ,125.0,170000000.0,172051787.0,6.8,Hit,264183,30000,364.0,2010.0,Action|Adventure|Sci-Fi,USA,English,PG,2.35,Color,2051787.0,1.2069335294117647,170.0,172.051787
Cars 2 ,106.0,200000000.0,191450875.0,6.3,Hit,101178,10000,487.0,2011.0,Adventure|Animation|Comedy|Family|Sport,USA,English,G,2.35,Color,-8549125.0,-4.2745625,200.0,191.450875
Green Lantern ,123.0,200000000.0,116593191.0,5.6,Average,223393,24000,258.0,2011.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-83406809.0,-41.703404500000005,200.0,116.593191
Toy Story 3 ,103.0,200000000.0,414984497.0,8.3,Hit,544884,30000,125.0,2010.0,Adventure|Animation|Comedy|Family|Fantasy,USA,English,G,1.85,Color,214984497.0,107.49224850000002,200.0,414.984497
Terminator Salvation ,118.0,200000000.0,125320003.0,6.6,Hit,286095,0,368.0,2009.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-74679997.0,-37.3399985,200.0,125.320003
Furious 7 ,140.0,190000000.0,350034110.0,7.2,Hit,278232,94000,0.0,2015.0,Action|Crime|Thriller,USA,English,PG-13,2.35,Color,160034110.0,84.22847894736843,190.0,350.03411
World War Z ,123.0,190000000.0,202351611.0,7.0,Hit,465019,129000,395.0,2013.0,Action|Adventure|Horror|Sci-Fi|Thriller,USA,English,PG-13,2.35,Color,12351611.0,6.500847894736841,190.0,202.351611
X-Men: Days of Future Past ,149.0,200000000.0,233914986.0,8.0,Hit,514125,82000,0.0,2014.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,USA,English,PG-13,2.35,Color,33914986.0,16.957493,200.0,233.914986
Star Trek Into Darkness ,132.0,190000000.0,228756232.0,7.8,Hit,395573,92000,14000.0,2013.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,38756232.0,20.398016842105264,190.0,228.756232
Jack the Giant Slayer ,114.0,195000000.0,65171860.0,6.3,Hit,106416,22000,0.0,2013.0,Adventure|Fantasy,USA,English,PG-13,2.35,Color,-129828140.0,-66.57853333333334,195.0,65.17186
The Great Gatsby ,143.0,105000000.0,144812796.0,7.3,Hit,362912,115000,1000.0,2013.0,Drama|Romance,Australia,English,PG-13,2.35,Color,39812796.0,37.91694857142857,105.0,144.812796
Prince of Persia: The Sands of Time ,116.0,200000000.0,90755643.0,6.6,Hit,222403,23000,179.0,2010.0,Action|Adventure|Fantasy|Romance,USA,English,PG-13,2.35,Color,-109244357.0,-54.6221785,200.0,90.755643
Pacific Rim ,131.0,190000000.0,101785482.0,7.0,Hit,381148,83000,0.0,2013.0,Action|Adventure|Sci-Fi,USA,English,PG-13,1.85,Color,-88214518.0,-46.42869368421053,190.0,101.785482
Transformers: Dark of the Moon ,154.0,195000000.0,352358779.0,6.3,Hit,326180,46000,0.0,2011.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,157358779.0,80.69680974358975,195.0,352.358779
Indiana Jones and the Kingdom of the Crystal Skull ,122.0,185000000.0,317011114.0,6.2,Hit,333847,5000,14000.0,2008.0,Action|Adventure|Fantasy,USA,English,PG-13,2.35,Color,132011114.0,71.35735891891892,185.0,317.011114
The Good Dinosaur ,93.0,0.0,123070338.0,6.8,Hit,62836,20000,113.0,2015.0,Adventure|Animation|Comedy|Family|Fantasy,USA,English,PG,2.35,Color,123070338.0,0.0,0.0,123.070338
Brave ,93.0,185000000.0,237282182.0,7.2,Hit,273556,39000,56.0,2012.0,Adventure|Animation|Comedy|Family|Fantasy,USA,English,PG,2.35,Color,52282182.0,28.260638918918918,185.0,237.282182
Star Trek Beyond ,122.0,185000000.0,130468626.0,7.5,Hit,53607,30000,681.0,2016.0,Action|Adventure|Sci-Fi|Thriller,USA,English,PG-13,2.35,Color,-54531374.0,-29.476418378378376,185.0,130.468626
WALL·E ,98.0,180000000.0,223806889.0,8.4,Hit,718837,16000,475.0,2008.0,Adventure|Animation|Family|Sci-Fi,USA,English,G,2.35,Color,43806889.0,24.337160555555556,180.0,223.806889
Rush Hour 3 ,91.0,140000000.0,140080850.0,6.2,Hit,121084,0,420.0,2007.0,Action|Comedy|Crime|Thriller,USA,English,PG-13,2.35,Color,80850.0,0.05775,140.0,140.08085
2012 ,158.0,200000000.0,166112167.0,5.8,Average,283418,13000,776.0,2009.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-33887833.0,-16.9439165,200.0,166.112167
A Christmas Carol ,96.0,200000000.0,137850096.0,6.8,Hit,72809,0,0.0,2009.0,Animation|Drama|Family|Fantasy,USA,English,PG,2.35,Color,-62149904.0,-31.074952,200.0,137.850096
Jupiter Ascending ,127.0,176000000.0,47375327.0,5.4,Average,139593,44000,0.0,2015.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-128624673.0,-73.08220056818182,176.0,47.375327
The Legend of Tarzan ,110.0,180000000.0,124051759.0,6.6,Hit,42372,29000,282.0,2016.0,Action|Adventure|Drama|Romance,USA,English,PG-13,2.35,Color,-55948241.0,-31.08235611111111,180.0,124.051759
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150.0,180000000.0,291709845.0,6.9,Hit,286506,0,80.0,2005.0,Adventure|Family|Fantasy,USA,English,PG,2.35,Color,111709845.0,62.061025,180.0,291.709845
X-Men: Apocalypse ,144.0,178000000.0,154985087.0,7.3,Hit,148379,54000,0.0,2016.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-23014913.0,-12.929726404494382,178.0,154.985087
The Dark Knight ,152.0,185000000.0,533316061.0,9.0,Hit,1676169,37000,22000.0,2008.0,Action|Crime|Drama|Thriller,USA,English,PG-13,2.35,Color,348316061.0,188.2789518918919,185.0,533.316061
Up ,96.0,175000000.0,292979556.0,8.3,Hit,665575,27000,0.0,2009.0,Adventure|Animation|Comedy|Family,USA,English,PG,1.85,Color,117979556.0,67.41688914285714,175.0,292.979556
Monsters vs. Aliens ,94.0,175000000.0,198332128.0,6.5,Hit,114553,0,11.0,2009.0,Action|Adventure|Animation|Comedy|Family|Sci-Fi,USA,English,PG,2.35,Color,23332128.0,13.33264457142857,175.0,198.332128
Iron Man ,126.0,140000000.0,318298180.0,7.9,Hit,696338,10000,4000.0,2008.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,178298180.0,127.35584285714285,140.0,318.29818
Hugo ,126.0,170000000.0,73820094.0,7.5,Hit,245333,42000,17000.0,2011.0,Adventure|Drama|Family|Mystery,USA,English,PG,1.85,Color,-96179906.0,-56.576415294117645,170.0,73.820094
Wild Wild West ,106.0,170000000.0,113745408.0,4.8,Average,129601,0,188.0,1999.0,Action|Comedy|Sci-Fi|Western,USA,English,PG-13,1.85,Color,-56254592.0,-33.09093647058823,170.0,113.745408
The Mummy: Tomb of the Dragon Emperor ,112.0,145000000.0,102176165.0,5.2,Average,117927,0,357.0,2008.0,Action|Adventure|Fantasy|Horror|Thriller,USA,English,PG-13,2.35,Color,-42823835.0,-29.53367931034483,145.0,102.176165
Suicide Squad ,123.0,175000000.0,161087183.0,6.9,Hit,118992,80000,452.0,2016.0,Action|Adventure|Comedy|Sci-Fi,USA,English,PG-13,2.35,Color,-13912817.0,-7.950181142857144,175.0,161.087183
Evan Almighty ,96.0,175000000.0,100289690.0,5.4,Average,115099,2000,293.0,2007.0,Comedy|Family|Fantasy,USA,English,PG,2.35,Color,-74710310.0,-42.691605714285714,175.0,100.28969
Edge of Tomorrow ,113.0,178000000.0,100189501.0,7.9,Hit,431620,77000,218.0,2014.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-77810499.0,-43.71376348314607,178.0,100.189501
Waterworld ,176.0,175000000.0,88246220.0,6.1,Hit,144337,0,58.0,1995.0,Action|Adventure|Sci-Fi|Thriller,USA,English,PG-13,1.85,Color,-86753780.0,-49.57358857142857,175.0,88.24622
G.I. Joe: The Rise of Cobra ,118.0,175000000.0,150167630.0,5.8,Average,174578,0,208.0,2009.0,Action|Adventure|Sci-Fi|Thriller,USA,English,PG-13,2.35,Color,-24832370.0,-14.189925714285714,175.0,150.16763
Inside Out ,95.0,175000000.0,356454367.0,8.3,Hit,345198,118000,0.0,2015.0,Adventure|Animation|Comedy|Drama|Family|Fantasy,USA,English,PG,1.85,Color,181454367.0,103.68820971428572,175.0,356.454367
The Jungle Book ,106.0,175000000.0,362645141.0,7.8,Hit,106072,65000,4000.0,2016.0,Adventure|Drama|Family|Fantasy,UK,English,PG,1.85,Color,187645141.0,107.22579485714286,175.0,362.645141
Iron Man 2 ,124.0,200000000.0,312057433.0,7.0,Hit,522371,18000,4000.0,2010.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,112057433.0,56.028716499999994,200.0,312.057433
Snow White and the Huntsman ,132.0,170000000.0,155111815.0,6.1,Hit,228554,53000,274.0,2012.0,Action|Adventure|Drama|Fantasy,USA,English,PG-13,2.35,Color,-14888185.0,-8.75775588235294,170.0,155.111815
Maleficent ,97.0,180000000.0,241407328.0,7.0,Hit,252257,89000,171.0,2014.0,Action|Adventure|Family|Fantasy|Romance,USA,English,PG,2.35,Color,61407328.0,34.115182222222224,180.0,241.407328
Dawn of the Planet of the Apes ,130.0,170000000.0,208543795.0,7.6,Hit,317542,45000,198.0,2014.0,Action|Adventure|Drama|Sci-Fi,USA,English,PG-13,1.85,Color,38543795.0,22.672820588235293,170.0,208.543795
The Lovers ,109.0,0.0,0.0,4.5,Average,2138,677,596.0,2015.0,Action|Adventure|Romance|Sci-Fi,Belgium,English,R,,Color,0.0,,0.0,0.0
47 Ronin ,128.0,175000000.0,38297305.0,6.3,Hit,116994,35000,47.0,2013.0,Action|Adventure|Drama|Fantasy,USA,English,PG-13,2.35,Color,-136702695.0,-78.11582571428572,175.0,38.297305
Captain America: The Winter Soldier ,136.0,170000000.0,259746958.0,7.8,Hit,496749,55000,94.0,2014.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,89746958.0,52.792328235294114,170.0,259.746958
Shrek Forever After ,93.0,165000000.0,238371987.0,6.4,Hit,138661,0,31.0,2010.0,Adventure|Animation|Comedy|Family|Fantasy,USA,English,PG,2.35,Color,73371987.0,44.467870909090905,165.0,238.371987
Tomorrowland ,130.0,190000000.0,93417865.0,6.5,Hit,128306,37000,663.0,2015.0,Action|Adventure|Family|Mystery|Sci-Fi,USA,English,PG,2.2,Color,-96582135.0,-50.832702631578954,190.0,93.417865
Big Hero 6 ,102.0,165000000.0,222487711.0,7.9,Hit,279093,41000,38.0,2014.0,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,USA,English,PG,2.39,Color,57487711.0,34.84103696969697,165.0,222.487711
Wreck-It Ralph ,101.0,165000000.0,189412677.0,7.8,Hit,272534,40000,66.0,2012.0,Adventure|Animation|Comedy|Family|Sci-Fi,USA,English,PG,2.35,Color,24412677.0,14.795561818181818,165.0,189.412677
The Polar Express ,100.0,165000000.0,665426.0,6.6,Hit,120798,10000,0.0,2004.0,Adventure|Animation|Family|Fantasy,USA,English,G,2.35,Color,-164334574.0,-99.59671151515151,165.0,0.665426
Independence Day: Resurgence ,120.0,165000000.0,102315545.0,5.5,Average,58137,67000,776.0,2016.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-62684455.0,-37.99057878787879,165.0,102.315545
How to Train Your Dragon ,98.0,165000000.0,217387997.0,8.2,Hit,485430,33000,255.0,2010.0,Adventure|Animation|Family|Fantasy,USA,English,PG,2.35,Color,52387997.0,31.75030121212121,165.0,217.387997
Terminator 3: Rise of the Machines ,109.0,200000000.0,150350192.0,6.4,Hit,305340,0,84.0,2003.0,Action|Sci-Fi,USA,English,R,2.35,Color,-49649808.0,-24.824904,200.0,150.350192
Guardians of the Galaxy ,121.0,170000000.0,333130696.0,8.1,Hit,682155,96000,571.0,2014.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,163130696.0,95.95923294117648,170.0,333.130696
Interstellar ,169.0,165000000.0,187991439.0,8.6,Hit,928227,349000,22000.0,2014.0,Adventure|Drama|Sci-Fi,USA,English,PG-13,2.35,Color,22991439.0,13.934205454545454,165.0,187.991439
Inception ,148.0,160000000.0,292568851.0,8.8,Hit,1468200,175000,22000.0,2010.0,Action|Adventure|Sci-Fi|Thriller,USA,English,PG-13,2.35,Color,132568851.0,82.855531875,160.0,292.568851
Godzilla Resurgence ,120.0,0.0,0.0,8.2,Hit,374,0,28.0,2016.0,Action|Adventure|Drama|Horror|Sci-Fi,Japan,Japanese,,2.35,Color,0.0,,0.0,0.0
The Hobbit: An Unexpected Journey ,182.0,180000000.0,303001229.0,7.9,Hit,637246,166000,0.0,2012.0,Adventure|Fantasy,USA,English,PG-13,2.35,Color,123001229.0,68.33401611111111,180.0,303.001229
The Fast and the Furious ,106.0,38000000.0,144512310.0,6.7,Hit,272223,14000,357.0,2001.0,Action|Crime|Thriller,USA,English,PG-13,2.35,Color,106512310.0,280.29555263157897,38.0,144.51231
The Curious Case of Benjamin Button ,166.0,150000000.0,127490802.0,7.8,Hit,459346,23000,21000.0,2008.0,Drama|Fantasy|Romance,USA,English,PG-13,2.35,Color,-22509198.0,-15.006132,150.0,127.490802
X-Men: First Class ,132.0,160000000.0,146405371.0,7.8,Hit,518537,54000,905.0,2011.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-13594629.0,-8.496643125,160.0,146.405371
The Hunger Games: Mockingjay - Part 2 ,137.0,160000000.0,281666058.0,6.6,Hit,166137,38000,508.0,2015.0,Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,121666058.0,76.04128625,160.0,281.666058
The Sorcerer's Apprentice ,109.0,150000000.0,63143812.0,6.1,Hit,124185,11000,226.0,2010.0,Action|Adventure|Family|Fantasy,USA,English,PG,2.35,Color,-86856188.0,-57.90412533333333,150.0,63.143812
Poseidon ,98.0,160000000.0,60655503.0,5.6,Average,82380,0,249.0,2006.0,Action|Adventure|Drama|Thriller,USA,English,PG-13,2.35,Color,-99344497.0,-62.090310625,160.0,60.655503
Alice Through the Looking Glass ,113.0,170000000.0,76846624.0,6.4,Hit,21352,30000,33.0,2016.0,Adventure|Family|Fantasy,USA,English,PG,1.85,Color,-93153376.0,-54.796103529411766,170.0,76.846624
Shrek the Third ,93.0,160000000.0,320706665.0,6.1,Hit,211971,0,50.0,2007.0,Adventure|Animation|Comedy|Family|Fantasy,USA,English,PG,1.85,Color,160706665.0,100.44166562500001,160.0,320.706665
Warcraft ,123.0,160000000.0,46978995.0,7.3,Hit,111609,89000,0.0,2016.0,Action|Adventure|Fantasy,USA,English,PG-13,2.35,Color,-113021005.0,-70.638128125,160.0,46.978995
Terminator Genisys ,126.0,155000000.0,89732035.0,6.6,Hit,188457,82000,230.0,2015.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,-65267965.0,-42.10836451612903,155.0,89.732035
The Chronicles of Narnia: The Voyage of the Dawn Treader ,113.0,155000000.0,104383624.0,6.3,Hit,106446,11000,150.0,2010.0,Adventure|Family|Fantasy,USA,English,PG,1.78,Color,-50616376.0,-32.65572645161291,155.0,104.383624
Pearl Harbor ,184.0,140000000.0,198539855.0,6.1,Hit,254111,0,0.0,2001.0,Action|Drama|History|Romance|War,USA,English,PG-13,2.35, Black and White,58539855.0,41.81418214285714,140.0,198.539855
Transformers ,144.0,150000000.0,318759914.0,7.1,Hit,513158,8000,0.0,2007.0,Action|Adventure|Sci-Fi,USA,English,PG-13,2.35,Color,168759914.0,112.50660933333334,150.0,318.759914
Alexander ,206.0,155000000.0,34293771.0,5.5,Average,138863,0,0.0,2004.0,Action|Adventure|Biography|Drama|History|Romance|War,Germany,English,R,2.35,Color,-120706229.0,-77.8749864516129,155.0,34.293771
Harry Potter and the Order of the Phoenix ,138.0,150000000.0,292000866.0,7.5,Hit,355137,0,282.0,2007.0,Adventure|Family|Fantasy|Mystery,UK,English,PG-13,2.35,Color,142000866.0,94.667244,150.0,292.000866
Harry Potter and the Goblet of Fire ,157.0,150000000.0,289994397.0,7.6,Hit,385670,0,179.0,2005.0,Adventure|Family|Fantasy|Mystery,UK,English,PG-13,2.35,Color,139994397.0,93.329598,150.0,289.994397
Hancock ,102.0,150000000.0,227946274.0,6.4,Hit,343648,0,532.0,2008.0,Action|Drama,USA,English,PG-13,2.35,Color,77946274.0,51.96418266666667,150.0,227.946274
I Am Legend ,104.0,150000000.0,256386216.0,7.2,Hit,530870,11000,508.0,2007.0,Drama|Horror|Sci-Fi,USA,English,PG-13,2.35,Color,106386216.0,70.924144,150.0,256.386216
Charlie and the Chocolate Factory ,115.0,150000000.0,206456431.0,6.7,Hit,320284,0,13000.0,2005.0,Adventure|Comedy|Family|Fantasy,USA,English,PG,1.85,Color,56456431.0,37.63762066666666,150.0,206.456431
Ratatouille ,111.0,150000000.0,206435493.0,8.0,Hit,473887,10000,663.0,2007.0,Animation|Comedy|Family|Fantasy,USA,English,G,2.35,Color,56435493.0,37.623662,150.0,206.435493
Batman Begins ,128.0,150000000.0,205343774.0,8.3,Hit,980946,15000,22000.0,2005.0,Action|Adventure,USA,English,PG-13,2.35,Color,55343774.0,36.89584933333334,150.0,205.343774
Madagascar: Escape 2 Africa ,89.0,150000000.0,179982968.0,6.7,Hit,146019,0,35.0,2008.0,Action|Adventure|Animation|Comedy|Family,USA,English,PG,1.85,Color,29982968.0,19.98864533333333,150.0,179.982968
Night at the Museum: Battle of the Smithsonian ,105.0,150000000.0,177243721.0,5.9,Average,130272,2000,189.0,2009.0,Adventure|Comedy|Family|Fantasy,USA,English,PG,2.35,Color,27243721.0,18.162480666666667,150.0,177.243721
X-Men Origins: Wolverine ,119.0,150000000.0,179883016.0,6.7,Hit,361924,0,151.0,2009.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,USA,English,PG-13,2.35,Color,29883016.0,19.92201066666667,150.0,179.883016
The Matrix Revolutions ,129.0,150000000.0,139259759.0,6.7,Hit,364948,0,0.0,2003.0,Action|Sci-Fi,Australia,English,R,2.35,Color,-10740241.0,-7.160160666666666,150.0,139.259759
Frozen ,102.0,150000000.0,400736600.0,7.6,Hit,421658,58000,69.0,2013.0,Adventure|Animation|Comedy|Family|Fantasy|Musical,USA,English,PG,2.24,Color,250736600.0,167.1577333333333,150.0,400.7366
The Matrix Reloaded ,138.0,150000000.0,281492479.0,7.2,Hit,421818,0,0.0,2003.0,Action|Sci-Fi,USA,English,R,2.35,Color,131492479.0,87.66165266666667,150.0,281.492479
Thor: The Dark World ,112.0,170000000.0,206360018.0,7.1,Hit,414070,63000,230.0,2013.0,Action|Adventure|Fantasy,USA,English,PG-13,2.35,Color,36360018.0,21.38824588235294,170.0,206.360018
Mad Max: Fury Road ,120.0,150000000.0,153629485.0,8.1,Hit,552503,191000,750.0,2015.0,Action|Adventure|Sci-Fi|Thriller,Australia,English,R,2.35,Color,3629485.0,2.4196566666666666,150.0,153.629485
